Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Type of Orbit;Longitude of GEO (degrees);Perigee (km);Apogee (km);Eccentricity;Inclination (degrees);Period (minutes);Launch Mass (kg.);Dry Mass (kg.);Power (watts);Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Site;Launch Vehicle;COSPAR Number;NORAD Number
OneWeb-0240;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045U;48785
OneWeb-0241;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045G;48773
OneWeb-0242;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045F;48772
OneWeb-0243;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045H;48774
OneWeb-0244;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045K;48776
OneWeb-0245;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045M;48778
OneWeb-0246;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045V;48786
OneWeb-0247;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045L;48777
OneWeb-0248;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-045AH;48798
OneWeb-0249;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061A;48967
OneWeb-0250;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061B;48968
OneWeb-0252;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061D;48970
OneWeb-0253;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061E;48971
OneWeb-0254;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061F;48972
OneWeb-0255;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061G;48973
OneWeb-0256;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061H;48974
OneWeb-0257;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061J;48975
OneWeb-0258;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061K;48976
OneWeb-0259;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061L;48977
OneWeb-0260;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061M;48978
OneWeb-0261;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061N;48979
OneWeb-0262;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061P;48980
OneWeb-0263;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061Q;48981
OneWeb-0264;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061R;48982
OneWeb-0266;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061T;48984
OneWeb-0267;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061U;48985
OneWeb-0268;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061V;48986
OneWeb-0269;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061W;48987
OneWeb-0270;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061X;48988
OneWeb-0271;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061Y;48989
OneWeb-0272;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061Z;48990
OneWeb-0273;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061AA;48991
OneWeb-0274;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061AB;48992
OneWeb-0275;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061AC;48993
OneWeb-0276;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061AD;48994
OneWeb-0277;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061AE;48995
OneWeb-0278;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061AF;48996
OneWeb-0279;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061AG;48997
OneWeb-0280;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061AH;48998
OneWeb-0281;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061AJ;48999
OneWeb-0282;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061AK;49000
OneWeb-0283;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061AL;49001
OneWeb-0284;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-061AM;49002
OneWeb-0285;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075A;49075
OneWeb-0286;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075B;49076
OneWeb-0287;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075C;49077
OneWeb-0288;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075D;49078
OneWeb-0289;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075E;49079
OneWeb-0290;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075F;49080
OneWeb-0291;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075G;49081
OneWeb-0292 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083A ;49186
OneWeb-0293;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075H;49082
OneWeb-0294;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075J;49083
OneWeb-0295;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075K;49084
OneWeb-0296;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075L;49085
OneWeb-0297;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075M;49086
OneWeb-0298;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075N;49087
OneWeb-0299;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075P;49088
OneWeb-0300;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075Q;49089
OneWeb-0301;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075R;49090
OneWeb-0302;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075S;49091
OneWeb-0303 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083B ;49187
OneWeb-0304;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075T;49092
OneWeb-0305;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075U;49093
OneWeb-0306 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083C ;49188
OneWeb-0307 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083D ;49189
OneWeb-0308;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075V;49094
OneWeb-0309;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075W;49095
OneWeb-0310;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075X;49096
OneWeb-0311;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075Y;49097
OneWeb-0312;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075Z;49098
OneWeb-0313;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075AA;49099
OneWeb-0314;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075AB;49100
OneWeb-0315;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075AC;49101
OneWeb-0316;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075AD;49102
OneWeb-0317;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075AE;49103
OneWeb-0318;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075AF;49104
OneWeb-0319;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075AG;49105
OneWeb-0320 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083E ;49190
OneWeb-0321 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083F ;49191
OneWeb-0322 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083G ;49192
OneWeb-0323;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075AH;49106
OneWeb-0324 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083H ;49193
OneWeb-0325 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083J ;49194
OneWeb-0326 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083K ;49195
OneWeb-0327 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083L ;49196
OneWeb-0328 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083M ;49197
OneWeb-0329;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075AJ;49107
OneWeb-0330;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;96.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-075AK;49108
OneWeb-0331 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.3;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083N ;49198
OneWeb-0332 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Vostochny Cosmodrome;Soyuz-2.1b;2021-090A ;49279
OneWeb-0333 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083P ;49199
OneWeb-0334 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083Q ;49200
OneWeb-0335 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083R ;49201
OneWeb-0336 ;United Kingdom;United Kingdom;OneWeb Satellites;Commercial;Communications;;LEO;Polar;0.0;1200.0;1202.0;0.0001320829480914014;87.4;109.6;148.0;;;5.0;OneWeb Satellites/Airbus;USA;Baikonur Cosmodrome;Soyuz-2.1b;2021-083S ;49202
