Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Type of Orbit;Longitude of GEO (degrees);Perigee (km);Apogee (km);Eccentricity;Inclination (degrees);Period (minutes);Launch Mass (kg.);Dry Mass (kg.);Power (watts);Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Site;Launch Vehicle;COSPAR Number;NORAD Number
Amos 3;NR;Israel;Space-Communication Ltd.;Military/Commercial;Communications;;GEO;;-3.99;35783.0;35789.0;7.116424708226587e-05;0.04;1436.1;;;;12.0;Israel Aircraft Industries (IAI);Israel;Baikonur Cosmodrome;Zenit 3SLB;2008-022A;32794
Amos 4;NR;Israel;Space-Communication Ltd.;Military/Commercial;Communications;;GEO;;65.0;35633.0;35796.0;0.0019365799760006654;0.01;1432.0;;;;12.0;Israel Aircraft Industries (IAI);Israel;Baikonur Cosmodrome;Zenit 2SB;2013-045A;39237
Amsat-Oscar 7;USA;USA;AMSAT-NA;Civil;Communications;;LEO;Polar;0.0;1440.0;1459.0;0.001214911439350342;101.4;114.9;29.0;;;;Amsat-NA;USA;Vandenberg AFB;Delta 2310;1974-089B;7530
ANASIS-II;South Korea;South Korea;Agency for Defense Development;Military;Communications;;GEO;;115.9;35781.0;35792.0;0.00013046623889554398;0.01;1436.1;;;;15.0;Airbus Defense and Space;France/UK/Germany/Spain;Cape Canaveral;Falcon 9;2020-048A;45920
ANDESITE Mule;USA;USA;ANDESITE - Boston University;Civil;Space Science/Technology Demonstration;;LEO;Sun-Synchronous;0.0;582.0;600.0;0.00129291768424077;97.7;96.5;9.0;;;;Boston University;USA;Rocket Lab Launch Complex 1;Electron;2020-037D;45726
ANGELS;France;ESA;Centre National d'Etudes Spatiales (CNES);Government;Communications;;LEO;Sun-Synchronous;0.0;509.0;524.0;0.0010890873448050533;97.4;94.9;18.0;;;;CNES ;ESA;Guiana Space Center;Soyuz;2019-092D;44876
Angosat-2;NR (12/22);Angola;AngoSat;Government;Communications;;LEO;;23.0;35782.0;35791.0;0.00010674510455089963;0.02;;2150.0;;;;ISS Reshetnev;Russia;Baikonur Cosmodrome;Proton;2022-131A;54033
Anik F1;Canada;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;;-107.27;35778.0;35793.0;0.00017791272787655228;0.02;1436.08;4710.0;2950;15,500 (EOL);15.0;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 44L;2000-076A;26624
Anik F1R;Canada;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;;-107.3;35777.0;35795.0;0.0002134927412467976;0.02;1436.1;4500.0;;10000;15.0;EADS Astrium;France/UK/Germany/Spain;Baikonur Cosmodrome;Proton M;2005-036A;28868
Anik F2;Canada;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;;-111.07;35781.0;35790.0;0.00010674763672593138;0.01;1436.08;5910.0;3805;16000;15.0;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 5;2004-027A;28378
Anik F3;Canada;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;;-118.69;35778.0;35794.0;0.000189771325552709;0.01;1436.1;4715.0;;17500;15.0;EADS Astrium;France/UK/Germany/Spain;Baikonur Cosmodrome;Proton M;2007-009A;31102
Anik G1;Canada;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;;-107.3;35773.0;35799.0;0.0003083784040231521;0.01;1436.08;4905.0;;17500;15.0;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton M;2013-014A;39127
AprizeSat 1;USA;Argentina;Aprize Satellite, Argentina;Commercial;Communications/Technology Development;;LEO;Sun-Synchronous;0.0;696.0;764.0;0.004788732394366197;98.0;99.4;12.0;12;;;Aprize Satellite ;Argentina;Baikonur Cosmodrome;Dnepr;2004-025G;28372
AprizeSat 10;USA;USA/Argentina;Aprize Satellite, Argentina;Commercial;Communications/Maritime Tracking;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;613.0;733.0;0.008519096975720574;97.9;98.0;12.0;12;;;SpaceQuest;USA;Dombarovsky Air Base;Dnepr;2014-033K;40019
